Tanggal,Tavg,RH_avg,ff_avg,RR
08-11-2018,29.2,79,1,16.8
09-11-2018,28,82,1,1
10-11-2018,29.9,73,1,1
11-11-2018,29.7,75,1,0
12-11-2018,30.1,73,1,0
13-11-2018,29.6,77,1,21.2
14-11-2018,30.5,71,1,
15-11-2018,30.2,73,2,0
16-11-2018,31.7,64,2,0
17-11-2018,31.7,64,1,0
18-11-2018,31,72,1,6
19-11-2018,30.3,73,1,13.6
20-11-2018,30.8,69,1,0
21-11-2018,29.5,71,1,
22-11-2018,30.3,67,1,2.3
23-11-2018,31.1,60,2,0
24-11-2018,30.1,67,1,0
25-11-2018,29.3,76,1,28.3
26-11-2018,27.9,84,0,18.3
27-11-2018,28,82,1,34.1
28-11-2018,28.7,79,1,0
29-11-2018,29.4,78,1,0
30-11-2018,28.1,81,1,5.2
01-12-2018,28.7,78,1,
02-12-2018,30.1,72,1,18
03-12-2018,28.4,82,1,20.4
04-12-2018,30.6,71,1,0
05-12-2018,28.2,84,1,1.2
06-12-2018,29.5,78,1,0
07-12-2018,30.1,76,1,0
08-12-2018,30.4,78,1,0
09-12-2018,29.3,77,0,0
10-12-2018,30.6,74,1,
11-12-2018,29.8,79,1,
12-12-2018,29.3,83,1,19.1
13-12-2018,27.6,88,1,4.1
14-12-2018,28.1,81,1,3.4
15-12-2018,29.1,79,1,0.5
16-12-2018,29.9,78,1,9.9
17-12-2018,30.2,70,1,0
18-12-2018,30.3,66,1,0
19-12-2018,29.8,74,1,0.6
20-12-2018,29.1,79,1,11.4
21-12-2018,29.2,78,1,0
22-12-2018,27.9,84,0,24.8
23-12-2018,28.6,83,1,46
24-12-2018,28.2,76,1,6
25-12-2018,26.7,85,1,
26-12-2018,27.3,86,0,15.7
27-12-2018,29.1,76,1,18.2
28-12-2018,28.9,73,0,14.8
29-12-2018,29.9,70,1,0
30-12-2018,30,72,0,0
31-12-2018,29.1,75,1,0
01-01-2019,28.9,77,1,0
02-01-2019,29,76,0,0
03-01-2019,27.3,83,0,15.7
04-01-2019,27.7,83,1,2.9
05-01-2019,29.1,78,1,1.6
06-01-2019,30.4,74,1,1.7
07-01-2019,29.2,80,1,0
08-01-2019,29.4,77,1,20
09-01-2019,29.7,77,1,0.6
10-01-2019,29.8,75,2,1.5
11-01-2019,29.7,74,1,
12-01-2019,28.9,78,1,0
13-01-2019,29,76,1,0
14-01-2019,29.8,76,2,0
15-01-2019,28.3,81,1,4
16-01-2019,27.7,86,1,42.6
17-01-2019,27.1,89,1,33
18-01-2019,27.9,84,2,103.5
19-01-2019,27.5,87,0,13.7
20-01-2019,28.5,83,1,65.6
21-01-2019,28.7,82,0,21.6
22-01-2019,27.9,83,2,0
23-01-2019,27.5,83,0,4.6
24-01-2019,27.8,84,1,17.6
25-01-2019,27.7,85,1,17.2
26-01-2019,27.7,84,1,1.5
27-01-2019,27.2,86,0,2
28-01-2019,26.4,90,0,18.6
29-01-2019,27.4,85,1,
30-01-2019,28.4,84,0,0
31-01-2019,27.2,84,1,7.8
01-02-2019,27.2,84,1,13
02-02-2019,27.2,85,1,92.3
03-02-2019,27.5,84,1,41
04-02-2019,27.5,84,1,16
05-02-2019,27.8,85,1,57
06-02-2019,28.5,81,1,26.8
07-02-2019,27.7,85,1,8.7
08-02-2019,28.4,82,0,7.7
09-02-2019,28.8,82,1,0
10-02-2019,29.4,78,1,1.6
11-02-2019,28.7,80,1,12.9
12-02-2019,27.6,84,1,7.5
13-02-2019,29,78,1,3.4
14-02-2019,27.8,84,1,5
15-02-2019,29.1,79,2,6.5
16-02-2019,29,79,2,1.4
17-02-2019,29.4,75,1,0
18-02-2019,29.2,76,1,0.3
19-02-2019,28.2,81,1,0
20-02-2019,28.2,84,1,0
21-02-2019,28.1,81,1,12.4
22-02-2019,28.6,80,1,0
23-02-2019,28.4,79,1,3
24-02-2019,29.4,77,1,0
25-02-2019,29.7,74,1,0
26-02-2019,30,76,1,0
27-02-2019,30.6,71,2,0
28-02-2019,30,75,1,0
01-03-2019,29.7,77,1,9.7
02-03-2019,27.5,86,1,17
03-03-2019,27.5,84,0,2.8
04-03-2019,28.9,80,1,
